,n-grams,Frequency,ID,Relative Frequency
44,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(3)",4,ID2,0.2222222222222222
45,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)",2,ID2,0.1111111111111111
46,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)",2,ID2,0.1111111111111111
47,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(3)",2,ID2,0.1111111111111111
48,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(3)",1,ID2,0.05555555555555555
49,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",1,ID2,0.05555555555555555
50,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(4)",1,ID2,0.05555555555555555
51,slider-risk-2,844,ID3,46.888888888888886
52,slider-risk-1,812,ID3,45.111111111111114
53,slider-risk-0,575,ID3,31.944444444444443
54,slider-risk-3,494,ID3,27.444444444444443
55,slider-risk-4,474,ID3,26.333333333333332
56,slider-return-3,141,ID3,7.833333333333333
57,slider-return-4,128,ID3,7.111111111111111
58,slider-return-2,116,ID3,6.444444444444445
59,html,114,ID3,6.333333333333333
60,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",85,ID3,4.722222222222222
61,slider-return-0,82,ID3,4.555555555555555
62,slider-return-1,70,ID3,3.888888888888889
63,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID3,2.5
64,risk-return,37,ID3,2.0555555555555554
65,saved-port-1,27,ID3,1.5
66,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",20,ID3,1.1111111111111112
67,survey-container,15,ID3,0.8333333333333334
68,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(3)",12,ID3,0.6666666666666666
69,saved-port-0,9,ID3,0.5
70,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(3)",4,ID3,0.2222222222222222
71,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)",2,ID3,0.1111111111111111
72,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)",2,ID3,0.1111111111111111
73,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(3)",2,ID3,0.1111111111111111
74,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(3)",1,ID3,0.05555555555555555
75,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",1,ID3,0.05555555555555555
76,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(4)",1,ID3,0.05555555555555555
77,slider-return-2,281,ID4,15.61111111111111
78,slider-return-1,237,ID4,13.166666666666666
79,slider-return-4,192,ID4,10.666666666666666
80,slider-return-0,163,ID4,9.055555555555555
81,html,76,ID4,4.222222222222222
82,slider-return-3,73,ID4,4.055555555555555
83,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID4,2.5
84,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)",19,ID4,1.0555555555555556
85,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)",12,ID4,0.6666666666666666
86,slider-risk-2,8,ID4,0.4444444444444444
87,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(4)",5,ID4,0.2777777777777778
88,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(4)>span",4,ID4,0.2222222222222222
89,slider-risk-0,4,ID4,0.2222222222222222
90,"[id=""portfolio-selection""]>div:nth-child(1)>div",3,ID4,0.16666666666666666
91,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",3,ID4,0.16666666666666666
92,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(3)",2,ID4,0.1111111111111111
93,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)",2,ID4,0.1111111111111111
94,slider-risk-0,248,ID5,13.777777777777779
95,slider-risk-2,230,ID5,12.777777777777779
96,slider-risk-3,157,ID5,8.722222222222221
97,slider-risk-4,145,ID5,8.055555555555555
98,slider-risk-1,144,ID5,8.0
99,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID5,2.5
100,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",27,ID5,1.5
101,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",3,ID5,0.16666666666666666
102,slider-return-2,896,ID6,49.77777777777778
103,slider-return-3,854,ID6,47.44444444444444
104,slider-return-1,779,ID6,43.27777777777778
105,slider-return-0,602,ID6,33.44444444444444
106,slider-return-4,583,ID6,32.388888888888886
107,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",447,ID6,24.833333333333332
108,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div",292,ID6,16.22222222222222
109,portfolio-selection,290,ID6,16.11111111111111
110,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",219,ID6,12.166666666666666
111,investment-results,131,ID6,7.277777777777778
112,slider-risk-3,101,ID6,5.611111111111111
113,"[id=""portfolio-selection""]>div:nth-child(3)>div",85,ID6,4.722222222222222
114,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",72,ID6,4.0
115,slider-risk-4,54,ID6,3.0
116,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(8)",33,ID6,1.8333333333333333
117,survey-container,29,ID6,1.6111111111111112
118,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)",29,ID6,1.6111111111111112
119,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)",27,ID6,1.5
120,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)",24,ID6,1.3333333333333333
121,slider-risk-2,23,ID6,1.2777777777777777
122,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(1)",15,ID6,0.8333333333333334
123,"[id=""content""]>div:nth-child(1)>p:nth-child(2)",14,ID6,0.7777777777777778
124,slider-risk-0,14,ID6,0.7777777777777778
125,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)",14,ID6,0.7777777777777778
126,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)",13,ID6,0.7222222222222222
127,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)",12,ID6,0.6666666666666666
128,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(1)",12,ID6,0.6666666666666666
129,"[id=""investment-results""]>p:nth-child(3)",10,ID6,0.5555555555555556
130,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)>label",10,ID6,0.5555555555555556
131,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(4)",8,ID6,0.4444444444444444
132,slider-risk-1,8,ID6,0.4444444444444444
133,content,7,ID6,0.3888888888888889
134,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>hr:nth-child(7)",7,ID6,0.3888888888888889
135,"[id=""portfolio-selection""]>hr",6,ID6,0.3333333333333333
136,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(4)",5,ID6,0.2777777777777778
137,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(4)",4,ID6,0.2222222222222222
138,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",4,ID6,0.2222222222222222
139,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(1)>label",4,ID6,0.2222222222222222
140,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(3)",4,ID6,0.2222222222222222
141,"[id=""portfolio-stats""]>svg",3,ID6,0.16666666666666666
142,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(2)",3,ID6,0.16666666666666666
143,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(1)",3,ID6,0.16666666666666666
144,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(1)>label",3,ID6,0.16666666666666666
145,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(3)",3,ID6,0.16666666666666666
146,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(4)",3,ID6,0.16666666666666666
147,"[id=""content""]>div:nth-child(1)",2,ID6,0.1111111111111111
148,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(1)>label",2,ID6,0.1111111111111111
149,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(1)",2,ID6,0.1111111111111111
150,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(3)",2,ID6,0.1111111111111111
151,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(1)>span",2,ID6,0.1111111111111111
152,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(8)>div:nth-child(3)",2,ID6,0.1111111111111111
153,"[id=""survey-container""]>div",1,ID6,0.05555555555555555
154,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(3)",1,ID6,0.05555555555555555
155,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)",1,ID6,0.05555555555555555
156,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(4)",1,ID6,0.05555555555555555
157,"[id=""portfolio-selection""]>div:nth-child(1)>div",1,ID6,0.05555555555555555
158,slider-return-1,716,ID7,39.77777777777778
159,slider-return-0,540,ID7,30.0
160,slider-return-2,530,ID7,29.444444444444443
161,slider-return-4,485,ID7,26.944444444444443
162,slider-return-3,456,ID7,25.333333333333332
163,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",162,ID7,9.0
164,html,110,ID7,6.111111111111111
165,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",54,ID7,3.0
166,slider-risk-0,8,ID7,0.4444444444444444
167,slider-risk-4,7,ID7,0.3888888888888889
168,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(1)",6,ID7,0.3333333333333333
169,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)",5,ID7,0.2777777777777778
170,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)>label",5,ID7,0.2777777777777778
171,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)",4,ID7,0.2222222222222222
172,slider-risk-2,3,ID7,0.16666666666666666
173,slider-return-4,302,ID8,16.77777777777778
174,slider-return-1,132,ID8,7.333333333333333
175,slider-return-0,120,ID8,6.666666666666667
176,slider-return-2,94,ID8,5.222222222222222
177,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",63,ID8,3.5
178,slider-return-3,40,ID8,2.2222222222222223
179,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",12,ID8,0.6666666666666666
180,"[id=""parsley-id-179""]>li",6,ID8,0.3333333333333333
181,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)",3,ID8,0.16666666666666666
182,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)",2,ID8,0.1111111111111111
183,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)>input",1879,ID9,104.38888888888889
184,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)>input",523,ID9,29.055555555555557
185,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)>input",493,ID9,27.38888888888889
186,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)>input",451,ID9,25.055555555555557
187,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)>input",350,ID9,19.444444444444443
188,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID9,2.5
189,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",3,ID9,0.16666666666666666
190,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)>input",672,ID10,37.333333333333336
191,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",478,ID10,26.555555555555557
192,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)>input",448,ID10,24.88888888888889
193,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)>input",341,ID10,18.944444444444443
194,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)>input",328,ID10,18.22222222222222
195,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)>input",244,ID10,13.555555555555555
196,portfolio-selection,179,ID10,9.944444444444445
197,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div",146,ID10,8.11111111111111
198,"[id=""portfolio-stats""]>svg",140,ID10,7.777777777777778
199,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",128,ID10,7.111111111111111
200,"[id=""portfolio-selection""]>div:nth-child(1)>div",114,ID10,6.333333333333333
201,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",87,ID10,4.833333333333333
202,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)",86,ID10,4.777777777777778
203,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(8)",78,ID10,4.333333333333333
204,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)",69,ID10,3.8333333333333335
205,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)",66,ID10,3.6666666666666665
206,investment-results,59,ID10,3.2777777777777777
207,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",57,ID10,3.1666666666666665
208,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)",36,ID10,2.0
209,risk-return,28,ID10,1.5555555555555556
210,"[id=""portfolio-selection""]>div:nth-child(3)>div",26,ID10,1.4444444444444444
211,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)",22,ID10,1.2222222222222223
212,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)",21,ID10,1.1666666666666667
213,content,15,ID10,0.8333333333333334
214,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(1)",15,ID10,0.8333333333333334
215,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(1)",14,ID10,0.7777777777777778
216,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(1)",12,ID10,0.6666666666666666
217,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(1)>span",12,ID10,0.6666666666666666
218,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(1)>label",11,ID10,0.6111111111111112
219,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)",6,ID10,0.3333333333333333
220,"[id=""portfolio-selection""]>hr",6,ID10,0.3333333333333333
221,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(1)",6,ID10,0.3333333333333333
222,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)>span",6,ID10,0.3333333333333333
223,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(3)",5,ID10,0.2777777777777778
224,"[id=""investment-results""]>p:nth-child(1)",4,ID10,0.2222222222222222
225,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(2)",4,ID10,0.2222222222222222
226,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(3)>span",3,ID10,0.16666666666666666
227,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(1)>label",3,ID10,0.16666666666666666
228,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>hr:nth-child(9)",3,ID10,0.16666666666666666
229,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(3)>span",2,ID10,0.1111111111111111
230,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(3)",2,ID10,0.1111111111111111
231,"[id=""investment-results""]>p:nth-child(3)",2,ID10,0.1111111111111111
232,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>hr:nth-child(7)",2,ID10,0.1111111111111111
233,"[id=""portfolio-stats""]>svg>g>g:nth-child(2)>path",2,ID10,0.1111111111111111
234,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(3)",1,ID10,0.05555555555555555
235,"[id=""portfolio-stats""]>svg>g>g:nth-child(2)>g:nth-child(3)>text",1,ID10,0.05555555555555555
236,"[id=""portfolio-stats""]>svg",68,ID11,3.7777777777777777
237,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",22,ID11,1.2222222222222223
238,"[id=""portfolio-selection""]>div:nth-child(5)>div>button",17,ID11,0.9444444444444444
239,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(3)>span",12,ID11,0.6666666666666666
240,pretest3,12,ID11,0.6666666666666666
241,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(2)>div:nth-child(2)>input",10,ID11,0.5555555555555556
242,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)>input",9,ID11,0.5
243,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)>input",9,ID11,0.5
244,"[id=""parsley-id-137""]>li",9,ID11,0.5
245,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(1)",9,ID11,0.5
246,pretest2,8,ID11,0.4444444444444444
247,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)>input",7,ID11,0.3888888888888889
248,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)",6,ID11,0.3333333333333333
249,pretest4,6,ID11,0.3333333333333333
250,"[id=""portfolio-selection""]>ul>li:nth-child(1)>label",6,ID11,0.3333333333333333
251,"[id=""portfolio-selection""]>ul",6,ID11,0.3333333333333333
252,"[id=""portfolio-selection""]>ul>li:nth-child(2)>label",6,ID11,0.3333333333333333
253,"[id=""portfolio-selection""]>div:nth-child(3)>div>div:nth-child(1)>div:nth-child(8)>div:nth-child(1)>label",6,ID11,0.3333333333333333
254,pretest1,5,ID11,0.2777777777777778
255,risk-return,4,ID11,0.2222222222222222
256,parsley-id-137,4,ID11,0.2222222222222222
257,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(3)>span",4,ID11,0.2222222222222222
258,content,4,ID11,0.2222222222222222
259,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)",3,ID11,0.16666666666666666
260,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",3,ID11,0.16666666666666666
261,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",3,ID11,0.16666666666666666
262,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)>input",3,ID11,0.16666666666666666
263,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)>div:nth-child(1)>span",3,ID11,0.16666666666666666
264,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(1)",3,ID11,0.16666666666666666
265,"[id=""portfolio-selection""]>ul>li:nth-child(3)>label",3,ID11,0.16666666666666666
266,"[id=""portfolio-selection""]>ul>li:nth-child(3)",3,ID11,0.16666666666666666
267,html,2,ID11,0.1111111111111111
268,"[id=""portfolio-stats""]>svg>g>g:nth-child(2)>path",2,ID11,0.1111111111111111
269,"[id=""portfolio-selection""]>div:nth-child(3)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)",2,ID11,0.1111111111111111
270,"[id=""portfolio-selection""]>div:nth-child(3)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(3)",2,ID11,0.1111111111111111
271,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(1)",1,ID11,0.05555555555555555
272,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)",1,ID11,0.05555555555555555
273,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(1)>label",1,ID11,0.05555555555555555
274,"[id=""portfolio-selection""]>div:nth-child(3)>div>div:nth-child(1)>div:nth-child(4)",1,ID11,0.05555555555555555
275,slider-return-2,854,ID12,47.44444444444444
276,slider-return-3,799,ID12,44.388888888888886
277,slider-return-4,791,ID12,43.94444444444444
278,slider-return-1,778,ID12,43.22222222222222
279,slider-return-0,541,ID12,30.055555555555557
280,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",376,ID12,20.88888888888889
